level,True,False,False,3,Level,True,False,<null>,<null>,True,1043633784,[],"<18, 0>",True,False,True,[],[]
item_drop_slots,True,False,False,3,Item Drop Slots,False,False,<null>,<null>,False,-1300918419,[],"<null, null>",False,False,True,[],[]
main_hand_weapon_type,True,False,False,3,Main Hand Weapon Type,True,False,<null>,<null>,True,356082681,[],"<null, null>",True,False,True,[],[]
off_hand_weapon_type,True,False,False,3,Off Hand Weapon Type,True,False,<null>,<null>,True,501678916,[],"<null, null>",True,False,True,[],[]
current_endurance_charges,True,False,False,3,Endurance Charges,True,False,<null>,<null>,True,-2122390594,[],"<null, null>",False,False,True,[],[]
current_frenzy_charges,True,False,False,3,Frenzy Charges,True,False,<null>,<null>,True,623963944,[],"<null, null>",False,False,True,[],[]
current_power_charges,True,False,False,3,Power Charges,True,False,<null>,<null>,True,489142904,[],"<null, null>",False,False,True,[],[]
cannot_have_life_leeched_from,True,False,False,4,Cannot be Life-Leeched,False,False,<null>,<null>,False,-547445160,[],"<18, 0>",False,False,False,[],[]
cannot_have_mana_leeched_from,True,False,False,4,Cannot be Mana-Leeched,False,False,<null>,<null>,False,-544265574,[],"<null, null>",False,False,False,[],[]
monster_slain_experience_+%,True,False,False,1,Experience From Slain Monsters,False,False,<null>,<null>,False,-412187701,[],"<null, null>",False,False,True,[],[]
monster_dropped_item_rarity_+%,True,False,False,1,Rarity of Items Dropped by Monsters,False,False,<null>,<null>,False,-1176759949,[],"<null, null>",False,False,True,[],[]
monster_dropped_item_quantity_+%,False,False,False,1,Quantity of Items Dropped by Monsters,False,False,<null>,<null>,False,-239722763,[],"<null, null>",False,False,True,[],[]
local_flask_life_to_recover,True,True,False,3,Local Flask Life to Recover,False,False,<null>,<null>,False,-576125868,[],"<null, null>",False,False,True,[],[]
local_flask_life_to_recover_+%,True,True,False,1,Local Flask Life to Recover +%,False,False,<null>,<null>,False,-1198959115,[],"<null, null>",False,False,True,[],[]
local_flask_mana_to_recover,True,True,False,3,Local Flask Mana to Recover,False,False,<null>,<null>,False,1835370919,[],"<null, null>",False,False,True,[],[]
local_flask_mana_to_recover_+%,True,True,False,1,Local Flask Mana to Recover +%,False,False,<null>,<null>,False,395902594,[],"<null, null>",False,False,True,[],[]
local_flask_recovery_speed_+%,True,True,False,1,Local Flask Recovery Speed +%,False,False,<null>,<null>,False,1556748148,[],"<null, null>",False,False,True,[],[]
local_flask_deciseconds_to_recover,True,True,False,3,Time to Recover,False,False,<null>,<null>,False,97193766,[],"<null, null>",False,False,True,[],[]
local_extra_max_charges,False,True,False,3,Local Extra Charges,False,False,<null>,<null>,False,-383728497,[],"<null, null>",False,False,True,[],[]
shield_block_%,True,False,False,1,Shield Block Chance,False,False,<null>,<null>,True,-1873459806,[],"<11, 0>",False,False,True,[],[]
old_do_not_use_spell_block_%_from_assumed_block_value,False,False,False,1,,False,False,<null>,<null>,False,1484398156,[],"<null, null>",False,False,True,[],[]
block_while_dual_wielding_%,False,False,False,1,Blocking while Dual Wielding,False,False,<null>,<null>,False,298807534,[],"<11, 0>",False,False,True,[],[]
block_recovery_+%,True,False,False,1,Block Recovery Increase,False,False,<null>,<null>,True,-1638902486,[],"<11, 0>",False,False,True,[],[]
shield_armour_+%,True,False,False,1,Shield Armour,False,False,<null>,<null>,False,1669549715,[],"<9, 0>",False,False,True,[],[]
damage_+%,True,False,False,1,All Damage,False,False,<null>,<null>,True,-1168998803,[],"<1, 0>",False,False,True,[],[]
spell_damage_+%,True,False,False,1,Spell Damage +%,False,False,<null>,<null>,True,78851980,[],"<1, 0>",False,False,True,[],[]
physical_damage_+%,True,False,False,1,Physical Damage +%,False,False,<null>,<null>,True,-453783483,[],"<1, 0>",False,False,True,[],[]
local_physical_damage_+%,False,True,True,1,Local Physical Damage +%,False,False,<790>,<812>,False,-1544785049,[],"<null, null>",False,False,True,[],[]
global_minimum_added_physical_damage,False,False,False,3,Minimum Added Physical Damage,False,False,<null>,<null>,True,821215114,[],"<null, null>",False,False,True,[],[]
global_maximum_added_physical_damage,False,False,False,3,Maximum Added Physical Damage,False,False,<null>,<null>,False,1816224805,[],"<null, null>",False,False,True,[],[]
attack_minimum_added_physical_damage,False,False,False,3,Minimum Added Physical Damage,False,False,<null>,<null>,False,-1987301089,[],"<1, 0>",False,False,True,[],[]
attack_maximum_added_physical_damage,False,False,False,3,Maximum Added Physical Damage,False,False,<null>,<null>,False,1877497836,[],"<1, 0>",False,False,True,[],[]
local_minimum_added_physical_damage,False,True,True,3,Local Minimum Added Physical Damage,False,False,<791>,<813>,False,1855777478,[],"<null, null>",False,False,True,[],[]
